tweet_id,Number_of_Likes,retweet_count
782722598790725632,17552,5490
782598640137187329,7919,1907
782305867769217024,16899,5674
782021823840026624,0,6320
781955203444699136,11287,3433
781661882474196992,10587,2769
781655249211752448,4050,1145
781524693396357120,21045,5656
781308096455073793,7241,2591
781251288990355457,8558,2116
781163403222056960,9958,2784
780931614150983680,21959,7440
780858289093574656,7294,2045
780800785462489090,5575,1324
780601303617732608,12285,3400
780543529827336192,6401,1769
780496263422808064,0,3763
780476555013349377,0,115
780459368902959104,5372,1095
780192070812196864,8828,2281
780092040432480260,0,2336
780074436359819264,12354,5058
779834332596887552,19168,7165
779377524342161408,8922,3160
779124354206535695,0,18619
779056095788752897,14964,4600
778990705243029504,20243,7329
778774459159379968,0,10055
778764940568104960,879,366
778748913645780993,6974,1335
778650543019483137,5847,1528
778624900596654080,4701,1024
778408200802557953,13798,4399
778396591732486144,0,12432
778383385161035776,5916,1120
778286810187399168,10520,3350
778039087836069888,8612,2687
778027034220126208,6639,1641
777953400541634568,0,3576
777885040357281792,6430,1651
777684233540206592,11372,2978
777641927919427584,0,4296
777621514455814149,8851,2534
777189768882946048,14443,4364
776819012571455488,0,13895
776813020089548800,4934,1231
776477788987613185,8929,2824
776249906839351296,0,9271
776218204058357768,30270,16084
776201521193218049,9738,2545
776113305656188928,11912,4424
776088319444877312,1860,153
775898661951791106,0,16763
775842724423557120,11865,2694
775733305207554048,14026,4039
775729183532220416,13140,4658
775364825476165632,7476,3010
775350846108426240,10284,3957
775085132600442880,15735,4803
774757898236878852,8703,1811
774639387460112384,6813,1755
774314403806253056,22013,5599
773985732834758656,10857,3924
773922284943896577,6462,1770
773704687002451968,6682,1649
773670353721753600,5404,1330
773547596996571136,22350,6255
773336787167145985,0,5153
773308824254029826,23572,7571
773247561583001600,9561,3287
773191612633579521,10096,4200
772877495989305348,8672,3930
772826264096874500,8160,2380
772615324260794368,0,3425
772581559778025472,6572,1718
772193107915964416,6109,1410
772152991789019136,3839,1145
772117678702071809,3815,750
772114945936949249,2755,473
772102971039580160,4039,950
771908950375665664,6649,1929
771770456517009408,12134,3425
771500966810099713,8337,2639
771380798096281600,10591,5153
771171053431250945,0,7563
771136648247640064,9235,2967
771102124360998913,6299,1458
